RAW COUNTS,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,Total
Sample_Ldn_100121_rep1,143,0,0,0,0,888,0,0,0,67,61,0,0,0,56,50,0,0,60,0,0,0,0,0,0,34,0,0,42,0,0,0,0,119,0,0,0,0,12,198,0,442,321,2500,145,405,256,0,0,0,338,219,340,23,11,58,318,157,0,0,0,0,0,0,0,1,4,0,58,0,0,0,0,0,0,0,0,25,0,0,0,310,0,199,0,107,30,185,428,0,0,0,949,262,6,648,71,632,11178
Sample_Ldn_100121_rep2,0,0,348,73,0,331,145,0,0,14,36,8,11,0,128,109,0,23,0,0,212,21,0,0,0,0,0,0,0,0,0,0,0,0,48,0,99,0,0,190,295,62,792,1010,0,0,61,0,0,0,0,0,0,55,0,108,693,11,151,0,13,0,0,0,8,0,0,0,58,0,0,0,3,0,0,0,0,0,0,0,27,227,0,120,0,46,0,383,1,38,0,0,397,237,11,707,48,466,7824
Sample_Ldn_110121_rep1,2179,19515,10803,5019,125,4794,2730,103,67,1267,1419,158,584,8,2891,2826,37,36,1672,76,3097,123,0,82,1205,545,2932,215,1636,1406,394,5158,109,4660,684,1055,2054,1518,238,12125,3496,8758,8549,9,3667,6,2707,532,1338,182,3835,3832,10897,1540,146,4204,21362,6235,2980,1356,1964,9001,1203,0,300,5,12,454,1296,36,7,698,229,2,482,856,7479,608,1031,2127,1546,7420,1969,4076,538,5527,826,7722,28,4871,80,1412,17824,10905,1191,27131,5138,19793,326963
Sample_Ldn_110121_rep2,1781,11352,5619,1804,79,2344,1380,43,23,873,535,129,222,3,1361,1694,24,26,720,36,1,80,1,254,368,191,1156,120,676,800,338,2352,46,3663,303,1020,980,1086,79,6130,1810,3831,4735,1,2351,3,1898,291,1193,157,3308,2194,5209,971,66,1881,9883,2526,1588,525,1181,5388,467,0,105,0,3,131,545,11,2,307,95,1,141,459,3913,333,479,876,770,3371,984,2529,183,2923,488,5259,11,1696,43,589,10423,6598,589,14532,2607,10939,173084
Sample_Ldn_120121_rep1,0,20,0,182,0,0,0,0,0,0,0,0,70,0,77,0,0,0,0,0,135,0,0,0,0,0,0,0,0,0,0,0,2,0,0,211,0,0,9,0,0,0,364,1703,0,0,0,0,0,0,0,0,1048,0,0,120,312,0,82,0,0,0,0,0,24,0,0,0,71,0,0,0,0,0,48,0,651,0,173,0,0,0,0,165,0,0,0,399,328,113,0,21,0,304,19,486,130,684,7951
Sample_Ldn_120121_rep2,53,0,93,0,1,0,0,0,0,0,0,0,12,0,21,28,3,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,10,39,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,42,2,14,0,31,0,0,0,5,305,32,0,133,5,69,1049
Sample_Ldn_130121_rep1,521,2031,1625,0,12,1098,266,0,0,95,87,79,61,2,991,334,6,4,0,34,251,0,0,0,0,22,169,0,116,293,106,0,3,366,0,178,239,0,20,3156,852,1130,2604,7464,246,405,745,283,353,0,0,903,1481,124,6,733,5853,0,704,243,0,1439,184,1,127,3,6,92,111,10,0,159,66,0,0,0,224,0,0,266,278,1008,20,561,0,422,313,1347,687,0,1,0,1074,1071,60,4632,435,5184,56075
Sample_Ldn_130121_rep2,0,528,531,45,13,205,293,41,0,51,168,0,202,0,176,0,3,4,183,0,18,0,0,0,108,47,97,35,82,188,0,0,26,477,0,133,0,0,25,493,0,241,1052,3634,174,0,567,0,173,0,0,0,955,243,26,0,1732,218,261,78,155,281,0,0,16,10,2,81,0,16,0,0,0,0,0,0,821,0,0,0,220,0,14,82,0,381,118,1293,803,315,0,56,828,639,6,2141,263,3080,25147
Sample_Ldn_140121_rep1,0,681,214,193,43,63,0,52,21,119,0,51,0,0,33,175,0,3,72,45,1,118,9,115,0,58,0,29,81,170,42,153,9,229,137,3,581,322,33,1837,297,519,0,997,105,0,196,102,164,0,1227,0,439,78,45,722,1861,832,180,217,318,451,60,0,141,18,22,250,92,55,9,190,0,5,69,78,0,33,172,0,0,171,87,0,66,89,0,268,443,455,11,80,699,782,52,1009,252,505,20605
Sample_Ldn_140121_rep2,177,405,1187,332,30,326,0,0,17,0,171,0,41,3,48,409,6,5,164,0,297,454,0,392,159,48,0,320,117,247,0,345,0,1183,0,177,472,749,52,989,704,363,714,1999,140,0,222,188,509,241,300,312,0,139,0,0,1077,341,407,101,410,309,0,0,0,0,25,351,115,10,9,299,79,1,0,132,969,143,800,0,228,0,0,272,0,107,393,393,447,425,5,105,1809,592,30,1677,277,1185,28676
